Cod. Promo��o    ;Ds. Promo��o       ;Ds. Referencia     ;Cod. Produto       ;Dt. Inicio        ;Dt. Final      ;Vl. Anterior   ;Vl. Promo��o
169;50% - JEANS + POESIA CONCRETA;M3415007;45558;19/05/2020;31/12/2021;159;79,5
169;50% - JEANS + POESIA CONCRETA;M3423024;46426;19/05/2020;31/12/2021;89;44,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3419008;46777;06/04/2020;31/12/2021;139;69,5
180;SALE 2021 CORRETA;M3420010;47282;26/12/2020;31/03/2021;159;79,5
180;SALE 2021 CORRETA;M3624049;52228;26/12/2020;31/03/2021;43;21,5
169;50% - JEANS + POESIA CONCRETA;M3418037;46949;19/05/2020;31/12/2021;179;89,5
169;50% - JEANS + POESIA CONCRETA;M3414010;46955;19/05/2020;31/12/2021;119;59,5
169;50% - JEANS + POESIA CONCRETA;M3422017;46961;19/05/2020;31/12/2021;339;169,5
169;50% - JEANS + POESIA CONCRETA;M3424044;46976;19/05/2020;31/12/2021;79;39,5
180;SALE 2021 CORRETA;M3628013;50829;26/12/2020;31/03/2021;199;99,5
194;PROMOCAO VENTO DE MUDANCAS 30%;M3528045;49656;23/03/2021;30/06/2021;99;69,3
174;BLACK 2020;M3528046;50027;10/11/2020;31/12/2021;119;59,5
174;BLACK 2020;M3528046;50029;10/11/2020;31/12/2021;119;59,5
180;SALE 2021 CORRETA;M3628011;50823;26/12/2020;31/03/2021;229;114,5
194;PROMOCAO VENTO DE MUDANCAS 30%;M3723009;54397;23/03/2021;30/06/2021;99;69,3
169;50% - JEANS + POESIA CONCRETA;M3429025;47420;19/05/2020;31/12/2021;159;79,5
169;50% - JEANS + POESIA CONCRETA;M3429025;47426;19/05/2020;31/12/2021;159;79,5
174;BLACK 2020;M3621019;51505;10/11/2020;31/12/2021;119;83,3
180;SALE 2021 CORRETA;M3624018;51522;26/12/2020;31/03/2021;129;64,5
180;SALE 2021 CORRETA;M3624018;51523;26/12/2020;31/03/2021;129;64,5
194;PROMOCAO VENTO DE MUDANCAS 30%;M3628024;51828;23/03/2021;30/06/2021;269;188,3
194;PROMOCAO VENTO DE MUDANCAS 30%;M3628024;51829;23/03/2021;30/06/2021;269;188,3
180;SALE 2021 CORRETA;M3614001;51831;26/12/2020;31/03/2021;109;54,5
180;SALE 2021 CORRETA;M3624038;51850;26/12/2020;31/03/2021;94;47
180;SALE 2021 CORRETA;M3610001;51538;26/12/2020;31/03/2021;129;64,5
169;50% - JEANS + POESIA CONCRETA;M3412027;46968;19/05/2020;31/12/2021;69;34,5
180;SALE 2021 CORRETA;M3420011;48062;26/12/2020;31/03/2021;149;74,5
180;SALE 2021 CORRETA;M3420011;48064;26/12/2020;31/03/2021;149;74,5
180;SALE 2021 CORRETA;M3420011;48069;26/12/2020;31/03/2021;149;74,5
174;BLACK 2020;M3512002;48678;10/11/2020;31/12/2021;89;44,5
194;PROMOCAO VENTO DE MUDANCAS 30%;M3528031;49323;23/03/2021;30/06/2021;149;74,5
194;PROMOCAO VENTO DE MUDANCAS 30%;M3528031;49327;23/03/2021;30/06/2021;149;74,5
193;PROMOCAO MOLETOM 30;M3528083;50402;10/03/2021;30/06/2021;159;79,5
193;PROMOCAO MOLETOM 30;M3528083;50407;10/03/2021;30/06/2021;159;79,5
180;SALE 2021 CORRETA;M3620007;51133;26/12/2020;31/03/2021;159;79,5
180;SALE 2021 CORRETA;M3612013;52399;26/12/2020;31/03/2021;108;54
174;BLACK 2020;M3519012;49959;10/11/2020;31/12/2021;169;84,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3418048;46240;06/04/2020;31/12/2021;149;74,5
169;50% - JEANS + POESIA CONCRETA;M3423029;46639;19/05/2020;31/12/2021;89;44,5
180;SALE 2021 CORRETA;M3610017;52403;26/12/2020;31/03/2021;99;49,5
180;SALE 2021 CORRETA;M3618027;52565;26/12/2020;31/03/2021;139;69,5
180;SALE 2021 CORRETA;M3619031;52613;26/12/2020;31/03/2021;124;62
194;PROMOCAO VENTO DE MUDANCAS 30%;M3729003;54182;23/03/2021;30/06/2021;151;105,7
194;PROMOCAO VENTO DE MUDANCAS 30%;M3624047;52873;23/03/2021;30/06/2021;122;85,4
174;BLACK 2020;M3528084;50488;10/11/2020;31/12/2021;199;99,5
180;SALE 2021 CORRETA;M3624003;1039406;26/12/2020;31/03/2021;109;54,5
180;SALE 2021 CORRETA;M3624003;1039412;26/12/2020;31/03/2021;109;54,5
180;SALE 2021 CORRETA;M3621005;50939;26/12/2020;31/03/2021;229;114,5
180;SALE 2021 CORRETA;M3621005;50940;26/12/2020;31/03/2021;229;114,5
174;BLACK 2020;M3519010;49567;10/11/2020;31/12/2021;149;74,5
174;BLACK 2020;M3519010;49570;10/11/2020;31/12/2021;0;0
174;BLACK 2020;M3528046;49766;10/11/2020;31/12/2021;119;59,5
174;BLACK 2020;M3528046;49986;10/11/2020;31/12/2021;119;59,5
180;SALE 2021 CORRETA;M3513051;51604;26/12/2020;31/03/2021;109;54,5
