Cod. Promo��o    ;Ds. Promo��o       ;Ds. Referencia     ;Cod. Produto       ;Dt. Inicio        ;Dt. Final      ;Vl. Anterior   ;Vl. Promo��o
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3421005;42235;06/04/2020;31/12/2021;219;109,5
168;50% COLECAO ESTOQUE;M3221044;41723;07/05/2020;31/12/2021;239;119,5
174;BLACK 2020;M3224064;42040;10/11/2020;31/12/2021;89;44,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3415001;41912;06/04/2020;31/12/2021;189;94,5
169;50% - JEANS + POESIA CONCRETA;M3113018;33910;19/05/2020;31/12/2021;89;44,5
169;50% - JEANS + POESIA CONCRETA;M3418002;42953;19/05/2020;31/12/2021;169;84,5
169;50% - JEANS + POESIA CONCRETA;M3418002;42959;19/05/2020;31/12/2021;169;84,5
180;SALE 2021 CORRETA;M3210031;43239;26/12/2020;31/03/2021;89;44,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3424002;43402;06/04/2020;31/12/2021;139;69,5
169;50% - JEANS + POESIA CONCRETA;M2929006;30603;19/05/2020;31/12/2021;139,9;69,95
169;50% - JEANS + POESIA CONCRETA;M2929006;30604;19/05/2020;31/12/2021;139,9;69,95
169;50% - JEANS + POESIA CONCRETA;M2929006;32014;19/05/2020;31/12/2021;139,9;69,95
169;50% - JEANS + POESIA CONCRETA;M2929006;32021;19/05/2020;31/12/2021;139,9;69,95
169;50% - JEANS + POESIA CONCRETA;M2929006;32025;19/05/2020;31/12/2021;139,9;69,95
194;PROMOCAO VENTO DE MUDANCAS 30%;M3110019;33474;23/03/2021;30/06/2021;99;69,3
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3418012;43859;06/04/2020;31/12/2021;189;94,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3424005;43986;06/04/2020;31/12/2021;129;64,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3424005;43989;06/04/2020;31/12/2021;129;64,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3424005;43992;06/04/2020;31/12/2021;129;64,5
169;50% - JEANS + POESIA CONCRETA;M3415009;44770;19/05/2020;31/12/2021;159;79,5
169;50% - JEANS + POESIA CONCRETA;M3412015;44771;19/05/2020;31/12/2021;109;54,5
169;50% - JEANS + POESIA CONCRETA;M3421019;44773;19/05/2020;31/12/2021;169;84,5
168;50% COLECAO ESTOQUE;M3115012;33775;07/05/2020;31/12/2021;129;64,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3429007;42701;06/04/2020;31/12/2021;159;79,5
169;50% - JEANS + POESIA CONCRETA;M3412002;42710;19/05/2020;31/12/2021;99;49,5
169;50% - JEANS + POESIA CONCRETA;M3424014;42711;19/05/2020;31/12/2021;79;39,5
